date,house3_average,house3_max,house3_min,house3_median,house4_average,house4_max,house4_min,house4_median,house3solar_average,house3solar_max,house3solar_min,house3solar_median
2023-03-01,1578.5180783707456,3652.56,479.0,1349.01,222.0158963206827,5386.859504132232,-1874.0578512396692,432.85833333333323,340.4244573096979,1604.413333,0.0,24.86593819
2023-03-02,1524.309227163648,3617.88,523.6831683168317,1369.7681372549018,241.37864369570812,1505.925,-373.08333333333326,443.2530822381791,205.67994655236112,1113.476821,0.0,2.918425468
2023-03-03,1427.7939091996523,3695.27,476.24,1203.185,-390.9004342950313,2432.3416666666662,-3501.2644628099174,440.01884700665187,446.6093438601007,1521.04698,0.0,30.486199385
2023-03-04,1438.5608518433958,3545.94,500.22,1172.338823529412,898.2646405358507,5006.854304635762,-682.1138211382114,521.9272368421052,301.8644177722986,1456.326667,0.0,15.563758385
2023-03-05,1720.8903771413259,6270.466666666666,449.33333333333326,1106.867816091954,281.0595695615118,4025.3,-2670.6,531.8333333333333,439.9547001426603,1576.366667,0.0,20.033333335000002
2023-03-06,1204.5642507074474,3350.903225806452,563.125,905.6833333333333,-11.985020650517031,2725.8,-3423.733333333333,442.04999999999995,296.93053218164863,1601.48,0.0,0.0
2023-03-07,1168.8777621997692,2774.6666666666665,459.16666666666663,978.0,10.08611676779498,2093.0,-3050.4666666666662,420.01666666666665,280.50462913431693,1599.677419,0.0,44.5
2023-03-08,1308.8471533201111,3557.6666666666665,517.6666666666666,1049.010752688172,-2.4462898591027096,1956.5666666666664,-2018.4,434.48333333333335,211.2524807662745,1367.636364,0.0,0.0
2023-03-09,983.6638565339446,2158.2666666666664,473.0,924.9999999999998,-12.79348433702056,1096.0,-2261.733333333333,413.3666666666667,218.38587633604166,1545.966667,0.0,0.0
2023-03-10,935.2902487058022,3075.2,482.0967741935484,811.1499999999999,-350.46137168870763,1042.2333333333331,-3505.333333333333,409.34999999999997,473.559211274391,1458.580645,0.0,121.2666667
2023-03-11,879.0265772653128,1923.6,498.56666666666666,852.7833333333333,-287.3550322117167,5088.1,-3504.4,449.7632183908046,417.8080447289881,1488.666667,0.0,0.0
2023-03-12,971.0259996820974,2292.9,441.2,883.8342105263157,-158.88087753915616,911.6533333333331,-2771.0,372.7872072072072,286.5240815202934,1602.0,0.0,0.0
2023-03-13,962.2057605851684,3395.779220779221,426.64,929.9999999999998,-289.37044653334124,3837.959459459459,-3505.08,385.8474561403508,364.88560485484356,1412.133333,0.0,0.0
2023-03-14,1001.2548921137901,3205.333333333333,489.28378378378375,903.2533333333333,183.93776795186332,3246.253333333333,-2958.2266666666665,468.1565789473684,218.18762274286252,1603.294118,0.0,0.0
2023-03-15,900.3926761077089,1901.16,439.12,877.56,-128.83282453591664,1691.9733333333331,-3433.5131578947367,374.1525604551921,241.4903912004258,1368.52,0.0,2.186666667
2023-03-16,929.4529995511574,1981.56,482.04054054054046,908.0463157894735,-313.0215706521628,849.2105263157895,-3498.213333333333,371.76396396396393,270.0629436354973,1563.0,0.0,41.50666667
2023-03-17,961.1265151583573,2377.44,451.0,848.2697368421052,-635.419132125119,775.92,-3738.2133333333327,364.6479824561403,416.1194651141216,1421.172414,0.0,84.828235295
2023-03-18,939.7918224899968,2882.36,432.2933333333333,917.78,17.947596712826975,892.3243243243243,-2097.373333333333,373.5708108108108,128.30138702902826,986.3333333,0.0,0.0
2023-03-19,896.7432688802096,1727.4666666666667,451.38666666666666,908.6147368421052,44.421061336028444,796.6486486486486,-992.84,354.38666666666666,137.21981060046784,1122.12,0.0,0.0
2023-03-20,779.9240762113789,1602.04,460.6133333333333,756.6392105263158,-571.1360615389399,697.9342105263157,-4263.733333333333,351.4133333333333,366.3355104672558,1490.857143,0.0,0.0
2023-03-21,848.8862576552543,2400.08,424.72,806.22,82.00538440888769,762.0933333333332,-1458.2266666666667,354.5933333333333,109.41480573909155,1020.493333,0.0,4.206666667
2023-03-22,848.2367020650204,1341.0266666666666,394.8666666666666,891.8666666666666,-432.3973219117956,863.4,-3502.0405405405404,360.1397368421052,327.65267651142443,1506.8,0.0,0.0
2023-03-23,962.3806092265303,2852.48,383.77333333333326,901.0133333333333,-277.33577054327054,782.2266666666666,-3475.6133333333332,354.7752252252252,292.39573844342107,1415.396552,0.0,0.0
2023-03-24,809.2726486250006,1469.0533333333333,387.22666666666663,823.3999999999999,147.19926053680987,3142.12,-2255.0,407.7748245614035,239.39999521351098,1503.893333,0.0,27.781964655
2023-03-25,871.4336414000722,2938.3466666666664,432.01351351351354,850.6011403508771,-206.54511290853395,1649.48,-2754.4594594594596,418.25333333333333,286.1421176195057,1466.052632,0.0,0.0
2023-03-26,884.805269049167,1920.9466666666665,415.88,867.3471929824561,313.8698513739632,2279.733333333333,-1478.6,436.7708771929824,211.43459881069424,1227.28,0.0,0.0
2023-03-27,873.8252114007377,1759.0266666666666,452.08,884.2609523809523,245.51810731656127,792.6266666666666,-509.12,360.70394736842104,65.12038160193464,555.7222222,0.0,0.0
2023-03-28,848.1364969981088,1870.7236842105265,399.89473684210526,794.2533333333333,-103.26870920967959,996.1066666666666,-2971.0666666666666,354.67570175438595,314.409045080097,1429.813333,0.0,0.0
2023-03-29,773.022385201974,1610.2236842105265,396.4189189189189,757.7666666666667,-133.89709472651907,830.4666666666666,-2633.855263157895,349.4384210526316,221.83369137853572,1431.88,0.0,83.880730595
2023-03-30,771.1138213672916,1240.8552631578948,421.72,768.8199999999999,-73.98064780647016,1462.8684210526317,-2862.4666666666662,369.8402631578948,281.33229619493915,1429.106667,0.0,0.053333333
